Project_ID,Category,Start_Date,Phase,Status,Risk_Level,Planned_Duration,Planned_Cost,Actual_Duration,Actual_Cost,Completion_Pct,Final_Actual_Duration,Final_Actual_Cost,Was_Delayed
NHS-001,Estates,2019-03-27,Build,At Risk,Low,1071,14066717.44,642,9192132.6,50.0,1543,17865292.88,1
NHS-002,Estates,2020-02-03,Build,Delayed,Medium,1043,11756457.32,625,7713789.13,42.3,1232,14972567.34,1
NHS-003,Estates,2020-10-01,Build,At Risk,High,905,19625320.14,543,13750309.99,51.9,1081,24903443.5,1
NHS-004,Estates,2020-11-27,Build,At Risk,High,993,29846350.72,595,18557918.84,54.7,1377,39892776.48,1
NHS-005,Estates,2020-11-28,Testing,On Track,Medium,913,29718064.53,547,16982530.66,65.1,902,30707191.83,0
NHS-006,Estates,2020-12-12,Build,At Risk,Medium,885,18990373.58,531,11803883.36,52.4,899,19686943.21,0
NHS-007,Estates,2020-12-26,Build,On Track,Medium,817,9682115.45,490,6447349.55,64.3,1186,12442943.88,1
NHS-008,Estates,2021-01-14,Build,At Risk,Medium,892,9565411.73,535,6571478.3,53.1,1009,12904796.43,1
NHS-009,Estates,2021-01-28,Build,Delayed,High,1047,2039439.79,628,1260967.11,36.1,1354,2457170.78,1
NHS-010,Estates,2021-02-04,Build,At Risk,High,785,12841367.66,471,8091556.0,50.1,1161,15202698.72,1
NHS-011,Estates,2021-03-11,Build,On Track,Medium,1037,20465710.99,622,11911794.34,63.1,1000,19764988.88,0
NHS-012,Estates,2021-03-16,Build,Delayed,Low,1026,28145263.53,615,19634164.48,42.3,1469,37074003.53,1
NHS-013,Estates,2021-03-26,Build,On Track,Low,967,4820890.15,580,3026089.05,59.9,1296,5362349.28,1
NHS-014,Estates,2021-04-13,Build,On Track,Medium,1075,18195742.3,645,11955048.26,64.0,1614,21701485.99,1
NHS-015,Estates,2021-04-14,Build,Delayed,Medium,1087,29093817.32,652,18068757.76,43.2,1617,36726672.47,1
NHS-016,Estates,2021-05-27,Build,On Track,Low,1091,15305409.3,654,9196160.86,63.0,1095,15707793.13,0
NHS-017,Digital,2021-06-08,Build,Delayed,Medium,514,2252748.53,308,1582525.58,47.6,732,2510852.97,1
NHS-018,Estates,2021-06-10,Build,Delayed,High,1035,26377441.77,621,17804327.22,42.9,1258,33510364.67,1
NHS-019,Transformation,2021-06-11,Build,Delayed,Low,699,1127627.61,419,788516.41,40.3,928,1435126.46,1
NHS-020,Estates,2021-07-01,Build,Delayed,High,909,25027860.82,545,16485212.19,43.1,1092,29422673.75,1
NHS-021,Estates,2021-07-04,Build,At Risk,High,694,17012718.4,416,11796488.61,54.5,1074,22318536.21,1
NHS-022,Transformation,2021-08-05,Build,Delayed,Low,591,323258.33,354,226252.22,47.7,795,377943.93,1
NHS-023,Transformation,2021-08-09,Build,At Risk,Medium,698,568777.6,418,347230.38,55.7,722,581395.16,0
NHS-024,Estates,2021-08-12,Build,At Risk,High,594,9306940.58,356,5790463.4,51.1,680,10942489.23,1
NHS-025,Transformation,2021-08-17,Build,On Track,High,646,1741859.98,387,1139233.54,63.4,984,2026641.8,1
NHS-026,Estates,2021-08-20,Build,Delayed,Medium,854,28196967.19,512,18665956.66,45.1,1098,29789634.09,1
NHS-027,Transformation,2021-08-24,Build,On Track,Medium,682,581428.37,409,346116.6,59.4,677,579450.65,0
NHS-028,Estates,2021-08-27,Build,On Track,Medium,896,24178096.78,537,13678246.53,64.4,841,24559780.16,0
NHS-029,Estates,2021-09-10,Build,At Risk,Medium,937,19547334.87,562,12399396.7,52.0,1173,22673300.38,1
NHS-030,Transformation,2021-09-15,Build,At Risk,High,699,943491.48,419,621782.71,55.8,962,1085235.4,1
NHS-031,Transformation,2021-09-19,Build,On Track,Medium,583,1984434.66,349,1284263.02,58.9,831,2323658.01,1
NHS-032,Transformation,2021-10-06,Build,Delayed,Medium,534,1744367.44,320,1171695.42,46.3,792,1833940.77,1
NHS-033,Estates,2021-10-22,Build,On Track,Medium,761,19455841.92,456,11598583.36,60.6,766,19746187.59,0
NHS-034,Transformation,2021-10-24,Build,At Risk,Medium,682,1104449.32,409,726984.76,50.6,1031,1323187.69,1
NHS-035,Estates,2021-10-29,Build,At Risk,High,845,14710735.21,507,10197727.7,54.4,928,17430600.2,1
NHS-036,Estates,2021-11-28,Build,On Track,High,759,19270343.49,455,11097214.2,58.4,765,20195714.61,0
NHS-037,Digital,2021-12-11,Build,At Risk,Low,509,663488.82,305,409583.57,48.6,591,707288.76,1
NHS-038,Estates,2021-12-23,Build,On Track,Medium,577,17077571.68,346,10723724.73,60.4,819,19924898.36,1
NHS-039,Digital,2021-12-25,Build,At Risk,Medium,459,2361178.16,275,1574509.31,50.2,710,2506610.9,1
NHS-040,Digital,2021-12-31,Build,At Risk,Medium,473,1926917.3,283,1336867.44,48.1,640,2448223.25,1
NHS-041,Estates,2022-01-13,Build,At Risk,Medium,452,10877133.07,271,7614693.82,49.6,622,12000218.54,1
NHS-042,Transformation,2022-01-30,Build,At Risk,Medium,696,855297.55,417,531922.56,53.7,1035,1049278.47,1
NHS-043,Digital,2022-02-15,Build,At Risk,High,364,1333983.37,218,927992.57,53.9,501,1572376.65,1
NHS-044,Estates,2022-03-02,Build,At Risk,High,842,17391847.09,505,11151290.77,54.3,921,20540036.06,1
NHS-045,Digital,2022-03-20,Build,At Risk,Medium,491,2203139.96,294,1432410.02,52.9,599,2636222.67,1
NHS-046,Transformation,2022-03-22,Build,At Risk,Medium,377,719068.18,226,472907.9,49.3,447,899514.17,1
NHS-047,Estates,2022-03-29,Build,On Track,Medium,741,12415283.25,444,6963351.9,59.1,703,12088444.55,0
NHS-048,Estates,2022-04-10,Build,At Risk,Low,716,17583417.32,429,12194133.82,56.2,932,21151956.21,1
NHS-049,Estates,2022-04-12,Build,At Risk,Medium,404,24015426.13,242,14702763.62,49.3,624,27239951.36,1
NHS-050,Digital,2022-04-25,Build,At Risk,Low,385,469066.65,231,287092.15,52.7,494,601525.05,1
NHS-051,Estates,2022-05-26,Build,Delayed,High,474,15759090.4,284,10262052.4,45.6,609,17141826.17,1
NHS-052,Digital,2022-06-01,Build,Delayed,Low,287,1826971.19,172,1202697.2,41.2,415,1963663.35,1
NHS-053,Digital,2022-06-01,Build,Delayed,Medium,480,1414581.28,288,871787.08,47.3,570,1609252.84,1
NHS-054,Estates,2022-06-02,Build,On Track,Medium,512,16448946.01,307,9932805.87,57.3,524,15843793.95,0
NHS-055,Estates,2022-06-17,Build,On Track,Medium,482,21307687.96,289,12295167.83,62.5,484,20540083.79,0
NHS-056,Estates,2022-06-24,Build,Delayed,High,427,19296448.23,256,12638203.06,41.3,530,22968480.04,1
NHS-057,Digital,2022-07-01,Build,Delayed,Medium,269,1472480.8,161,946166.57,44.5,391,1811475.59,1
NHS-058,Estates,2022-07-11,Build,On Track,Medium,657,12942516.0,394,7252726.46,57.5,641,12909037.17,0
NHS-059,Estates,2022-07-19,Build,Delayed,Low,829,22045753.22,497,15186986.08,43.0,1126,28324102.24,1
NHS-060,Transformation,2022-07-22,Build,On Track,Low,630,166834.37,378,98772.6,64.4,650,174795.58,0
NHS-061,Estates,2022-07-23,Build,Delayed,High,545,23522804.64,327,15758561.28,45.3,651,24999226.3,1
NHS-062,Digital,2022-07-26,Build,At Risk,High,245,2002822.34,147,1237997.47,52.2,359,2482496.92,1
NHS-063,Digital,2022-07-27,Testing,On Track,Medium,468,2014914.44,280,1208244.09,71.2,453,2047662.77,0
NHS-064,Transformation,2022-08-01,Build,On Track,Medium,309,1623849.17,185,963560.42,61.6,304,1681913.5,0
NHS-065,Transformation,2022-08-16,Build,At Risk,Medium,299,640354.56,179,420401.01,52.3,419,703760.87,1
NHS-066,Transformation,2022-08-31,Build,On Track,Medium,264,768896.28,158,449970.98,59.2,270,752292.07,0
NHS-067,Transformation,2022-09-02,Build,On Track,Medium,532,1587624.25,319,969521.53,59.0,500,1540693.66,0
NHS-068,Estates,2022-09-13,Build,On Track,Medium,556,1858611.38,333,1141714.41,57.8,538,1924284.43,0
NHS-069,Digital,2022-09-14,Build,At Risk,Low,435,1311432.19,261,845644.24,53.5,616,1694671.34,1
NHS-070,Digital,2022-09-16,Build,On Track,High,325,2786848.6,195,1695326.24,61.2,319,2774712.48,0
NHS-071,Transformation,2022-09-23,Build,On Track,High,248,1700093.85,148,1009635.94,64.2,255,1780304.92,0
NHS-072,Estates,2022-09-26,Build,At Risk,High,500,12488828.5,300,8822208.85,49.2,638,15041231.77,1
NHS-073,Estates,2022-10-03,Build,Delayed,Low,663,24606591.16,397,16150295.31,42.8,766,29535621.89,1
NHS-074,Digital,2022-10-03,Build,At Risk,Medium,244,702577.8,146,487397.98,55.9,363,809226.75,1
NHS-075,Transformation,2022-10-09,Build,On Track,High,342,1813119.52,205,1028209.88,57.6,329,1822710.61,0
NHS-076,Transformation,2022-10-13,Build,On Track,High,434,1790580.99,260,1098552.47,57.2,566,2145643.1,1
NHS-077,Transformation,2022-10-25,Build,Delayed,Medium,626,1791036.97,375,1125850.53,43.4,825,2413480.24,1
NHS-078,Estates,2022-10-25,Build,On Track,Medium,773,14839754.39,463,10095415.13,58.5,841,17536932.49,1
NHS-079,Transformation,2022-11-01,Build,On Track,Medium,422,690826.87,253,385970.52,62.4,402,692560.04,0
NHS-080,Digital,2022-11-01,Build,On Track,High,296,2529936.21,177,1742957.52,58.9,388,3334226.48,1
NHS-081,Estates,2022-11-07,Build,On Track,Low,890,8099098.54,534,4796008.04,59.7,875,8123189.85,0
NHS-082,Estates,2022-11-17,Build,On Track,High,749,15869438.09,449,9400073.72,61.8,762,15574981.77,0
NHS-083,Digital,2022-11-24,Build,At Risk,Medium,269,1600587.02,161,923434.51,54.1,257,1562632.51,0
NHS-084,Estates,2022-11-26,Build,At Risk,Medium,434,3448885.31,260,2158568.76,55.0,489,4229345.2,1
NHS-085,Transformation,2022-12-01,Build,At Risk,Medium,616,1830212.63,369,1226551.43,55.0,897,2052703.98,1
NHS-086,Estates,2022-12-08,Build,Delayed,Medium,696,2310020.39,417,1438279.77,38.6,834,2629801.56,1
NHS-087,Digital,2022-12-12,Build,Delayed,Medium,485,1333593.9,291,831606.37,46.3,728,1440439.7,1
NHS-088,Digital,2022-12-12,Build,At Risk,Low,331,929970.59,198,561032.0,56.8,339,890702.08,0
NHS-089,Digital,2022-12-15,Build,On Track,Low,217,1821137.07,130,1019383.55,63.5,219,1885267.56,0
NHS-090,Digital,2022-12-16,Build,On Track,Medium,211,1426131.3,126,869226.89,58.7,207,1408498.54,0
NHS-091,Transformation,2022-12-19,Build,On Track,High,447,605152.93,268,348548.69,58.3,420,629516.53,0
NHS-092,Digital,2022-12-25,Testing,On Track,Medium,320,1548937.94,192,902130.84,66.9,312,1489830.33,0
NHS-093,Digital,2022-12-28,Build,On Track,Low,188,882070.89,112,503960.45,59.2,178,884012.53,0
NHS-094,Digital,2022-12-29,Build,At Risk,Medium,340,1025314.54,204,650257.49,56.0,506,1154606.04,1
NHS-095,Digital,2022-12-30,Build,On Track,Medium,296,2035449.67,177,1397748.45,58.7,439,2287853.8,1
NHS-096,Digital,2023-01-02,Build,On Track,Low,421,1151260.65,252,667861.38,63.0,430,1153571.45,0
NHS-097,Estates,2023-01-05,Build,On Track,Medium,878,9872742.1,526,5977792.86,62.3,858,9998430.84,0
NHS-098,Transformation,2023-01-06,Testing,On Track,Medium,592,967167.33,355,544622.35,67.0,601,961951.68,0
NHS-099,Estates,2023-01-12,Build,On Track,High,478,4917313.97,286,2888879.49,57.8,466,4714087.03,0
NHS-100,Digital,2023-01-13,Build,On Track,Medium,362,1432248.36,217,826440.34,57.1,365,1468052.21,0
NHS-101,Digital,2023-01-15,Testing,On Track,Medium,376,920865.49,225,536203.11,68.9,358,894011.15,0
NHS-102,Transformation,2023-01-21,Build,At Risk,Low,205,1523770.44,123,1006460.41,50.3,277,1780572.31,1
NHS-103,Transformation,2023-01-30,Build,On Track,Medium,494,584703.17,296,352715.3,62.8,460,578859.73,0
